drug	Prodiem Plain
drug		KLM Royal Dutch Airlines.
movie		Zyrtec
drug		L-PAM
person		St. Paul Companies
place		Cher
drug		Klean-Prep
movie		Bondi Junction
drug		AMMONIATED MERCURY
movie		Mamotte agetai
movie		No Place to Go
company		Computer Task Group, Incorporated
movie		Benoit Mandelbrot
drug		Colyte
drug		Novoxapam 14
company		Mid Atlanta Medical Services Inc.
movie		Omar Khayyam
movie		Mickey Mantle
drug		YPF
person		Modane Bulk
movie		Necro Files 2
company		Rdo Equipment Co.
person		Georg Scheffers
drug		Ophtho-Dipivefrin
company		The Blackrock Florida Insured Municipal 2008 Term Trust
company		Sizeler Property Investors Inc.
person		Betty Williams
movie		Five Dock
drug		Taxol
movie		Persantine
company		US Airways Group Inc
person		Sir Alexander Fleming
movie		The Hiking Viking
movie		Daleko od okna
place		Rotherwick
drug		Alramucil Regular
person		Sir James Jeans
company		FDX Corporation.
movie		Pyri
place		North Baddesley
movie		Famvir
movie		Numero Bruno
drug		Benadryl Allergy 10
drug		Caroline Chisholm
person		John of Holywood
movie		The Distinct Smell of Red
place		Kippour
person		Julia Bowman Robinson
person		Stanislaw Mazur
movie		Bla, bla, bla
person		Boris Delone
movie		The American Astronaut
movie		Solange es Männer gibt
person		Earl of Aberdeen
place		Gee-Gee
movie		Dead by Monday
person		Sergius IV
company		Honeywell International, Inc.
movie		Canada: A People's History
movie		Rock, Paper, Scissors
movie		Sex and the Matrix
drug		Respaire-60 SR 142
person		Rooty Hill
person		G F Bernhard Riemann
drug		Oxy Clean Extra Strength Medicated Pads
person		Justice Kennedy
person		Robert Duvall
movie		Fletcher Challenge Energy Division.
place		Girraween
place		Reston
drug		Fisimatenten
drug		Trilafon Concentrate
person		John Mccausland
drug		Spectrobid
person		Narberth
company		Meristar Hotels & Resorts, Inc.
drug		PMS Benztropine
company		National Golf Properties Inc.
company		Salomon Smith Barney Holding Inc.
drug		Cogentin
place		Bellangry
drug		Portglenone
person		Charles Jagger
drug		Mydriacyl
drug		Dapacin Cold
movie		Ren jian si yue tian
person		Regular Iletin II
drug		D.C.
drug		Banophen 10
person		Lafanmi Selavi
movie		Inventario balcanico
person		Partnerre Ltd
company		Blount International Inc.
person		Pieni pyhiinvaellus
company		Rightchoice Managed Care Inc.
person		Francesco Cantelli
company		Crane Co.
drug		Glydeine Cough 106
drug		Ocusert Pilo-40
movie		Hij & Julia
person		Richard W. Riley
drug		Novolin ge 30/70 10
movie		Fatboy Slim and Macy Gray: Demons
place		Condom
movie		Es geht nicht immer nur um Sex
movie		Uttara
person		K+ Care ET
company		AMPCO Pittsburgh Corporation
movie		Mylanta Gas
drug		Dubbel-åttan
movie		Grind Session
movie		Ein Lasterhaftes Pärchen
place		Nyons
drug		Promacot
person		Algajola
movie		Battery Park
drug		Naldecon Pediatric Drops 14
drug		Myotrol
place		St. Andrews
movie		Jack in the Box Inc.
drug		Nestrex
place		Zhukovsky
movie		After the Reconciliation
movie		Bzz
person		Gerhard Domagk
company		SAP AG
company		Gabelli Equity Tr Inc
movie		Nutty Professor II: The Klumps
movie		Booty Talk 20: Super Fine Sistas!
company		Os Acrobatas da Pedra Rolada
movie		Valertest No. 1
place		Houilles
movie		New Haw
movie		The Cave
movie		Paschal II
movie		Phillips' Chewable 26
movie		Blue End
person		Lena Horne
person		Robert Pilatus
movie		Dada Sahib
drug		Humatrope
place		Wickford
drug		Occidente
movie		Indépendance Cha Cha
movie		Wilder Days
movie		Lily and the Secret Planting
drug		Key-Pred SP
company		Dal Tile International Inc.
drug		Ex-Lax Maximum Relief Formula 33
place		Cookham
movie		Real Rakeovers
movie		Mounted by the Gods
company		Pakistan Investment Fund, Inc.
movie		Boris
place		Stolberg
company		Omnicom Group Inc.
movie		Behind Closed Doors: The Dark Legacy of the Johns Committee
movie		Lee Remick
movie		Bhai Thakur
movie		Monte Irvin
movie		Diástole y sístole
movie		Mount Vincent
person		Richard R. Ernst
drug		Pavarine
drug		Gammar-P IV
place		Sonntags
movie		Rupert Steckil: Genesis of a Filmmaker
drug		Hydergine LC
person		Billy Hamilton
company		Lexington Corporate Properties Trust
drug		OptiPranolol
person		Howard Stern
place		Zeeland
drug		Advil
person		Mr. Hughes
drug		Amcort
movie		Achter gesloten ogen
movie		Piers Bohl
place		Halfweg
movie		The Opponent
movie		Moosh
drug		Theocon
movie		The Future of War
drug		Snapped
place		Huntly
person		Yulian-Karl Sokhotsky
drug		Canesten 3-Day Therapy
movie		Daughters of the Sun
drug		Nelova 1/35E
movie		Isobutyl
person		William Gladstone
person		John L. Phillips
drug		OxyContin 12
person		Honore Dutrey
movie		Bob Dylan
movie		Dayereh
drug		Concentrin 132
company		Fort James Corporation
movie		The Child and the Soldier
drug		Novo-Pirocam 16
movie		007 Racing
movie		Quadramet
drug		CyberCrime
movie		Xerac BP 5
person		Sir Christopher Wren
movie		Beyond the Ocean
drug		Etrafon-F
movie		Buttman's Anal Divas
drug		Sorbitrate
movie		Driver 2
person		Monongahela Pwr Co
drug		Pediacof Cough 69
company		Minerals Technologies Inc.
drug		Florone
movie		There's Something About Jack 11
drug		Apo-Metformin
company		DTE Energy Co.
movie		Intron A
drug		Adriamycin RDF
company		Devry, Inc.
drug		Exeter
drug		Codehist DH 32
movie		Bunnik
person		Charles Dodgson
person		Market Drayton
company		John Hancock Patriot Global Dividend Fund
movie		Global Domination
movie		Dalmane
drug		Roniacol
drug		Benzacot
place		Westhumble
movie		Marrying Out
movie		Urmel 2: Faule Tricks auf hoher See
place		Brighouse
movie		Private Vignettes #1
movie		Attention Shoppers
movie		Penny Okamoto
person		Charles Reyneau
movie		In Flagrante
drug		Botox
drug		Contac Cold/Flu Day Caplets 124
movie		Love at First Sight
person		Giovanni Vacca
movie		Talbot Green
drug		EZE-DS
movie		Donna Leon - Vendetta
company		Mercury General Corporation.
person		William Rothenstein
drug		Tofranil-PM
place		Madingley
person		Paul Signac
place		Picton
company		Scudder Strategic Municipal Income Trust
person		F. E. Sillanpää
person		William Whiston
drug		ED-SPAZ
movie		Chez moi
movie		Erland Bring
movie		Issai Schur
place		Eisenberg
drug		Theo-Time
drug		Hyzine-50 12
movie		Le Chapeau
company		Beckman Coulter Inc
movie		Fources
movie		Moral Court
drug		Dural
movie		The Black Meteor
drug		Ceo-Two
person		An Extremely Goofy Movie
movie		The Sopornos
person		Enfamil Human Milk Fortifier
movie		Raped by an Angel 5: The Final Judgement
movie		Gerry Humphreys: The Loved One
place		Kingsteignton
place		Lancaster
movie		Otto Szász
movie		Harikomi
person		Joe Mcginnity
company		Fansteel Inc.
drug		Dosaflex 35
person		Stanislaw M. Ulam
place		West Wickham
movie		Univasc
movie		Blessed Innocent XI
drug		Mithracin
movie		Say You Love Satan
movie		TI - UVA - B Sunscreen 41
movie		Day After Day
movie		O Sonho de Rose - 10 Anos Depois
company		Pimco Commercial Mortgage Securities Trust, Inc.
person		Leonhard Euler
company		Ak Steel Holding Corp
company		Millipore Corporation.
drug		Neutrogena Deep Glow 32
drug		Tylenol Cold Multi-Symptom 58
movie		Tarka
movie		Mission: Impossible II
company		Vlasic Foods International Inc.
drug		Nystop
place		9-Ball
drug		Florence Sabin
movie		Abercrombie & Fitch
person		Arthur Lakes
movie		North Pole # 19
person		Paul Barbarin
drug		BCNU
drug		Healthprin Adult Low Strength
movie		Pokémon: Vol. 18: Water Blast
movie		Adventures in Wild California
place		Kineton
place		Lelystad
person		Deus Jr.
drug		Humulin R
movie		Giulio Natta
drug		Otocidin
person		Democritus of Abdera
person		Lord Boyd Orr of Brechin
drug		Halog-E 13
movie		De Geheime dienst
company		LEXMARK INTL INC
movie		Almost Blue
drug		Tri-Tannate Pediatric 16
drug		Lorcet-HD
movie		El Beso que me diste
drug		Prevacid
person		James H. Curry
company		Ralston Purina Co
drug		Titralac 18
person		James Sylvester
drug		Caffedrine Caplets
person		Vaughan Jones
drug		Apo-Clonazepam
company		Leggett & Platt Inc.
place		Bagshot
movie		Phones
movie		Traveling Miles: Cassandra Wilson
movie		Mega Man X5
person		Edward I
movie		Condenado à Liberdade
movie		Bude
company		NBCI Auto Commn Exchange
movie		Putting It Together
movie		Najac
person		Giovanni Saccheri
drug		Orajel Maximum Strength
person		Jacob Nielsen
drug		Atrohist Plus
drug		Hans Heilbronn
drug		Empedocles
movie		Gespräch im Gebirg
movie		Slow Fe
drug		Kefzol
person		Margaret Mead
movie		Socieda Quimica Min De Chile
movie		An Unkindness of Ravens
company		Equities Office Properties Trust
movie		Life Force
drug		Hydro-chlor
company		American Home Prods Corp
company		Berkshire Hathaway Inc
drug		Pneumovax 23
drug		Titralac Plus 21
company		Atwood Oceanics Inc.
movie		Dogme # 16 - Bad Actors
movie		Tout est calme
movie		Hitler Meets Christ
movie		Isopap
movie		Rocco: Animal Trainer 3
drug		Oxyderm 20 Lotion
place		Driebergen
person		Howard Martin Temin
place		Vancenase
drug		FDS
place		Bombshell
movie		Façade
movie		Arvokkaasti
place		Vauvert
place		Durham
place		Bollington
drug		Flagyl
person		Barnard Girls
place		Seaham
drug		N-IPV
place		Haguenau
movie		Amigos X siempre
place		Glenorie
place		Ben Kingsley
person		Robert Recorde
person		Gustav Hertz
drug		Latin Heat Inn Exile
company		EIX Trust
place		Harwich
place		Nowra
person		Hassan II
company		Ceridian Corporation
movie		What About Me: The Rise of the Nihilist Spasm Band
drug		Lucky 13
person		St. Thomas Aquinas
movie		Die Einsamkeit der Krokodile
drug		Prednicot
drug		Cefzil 13
drug		Der Boxprinz
drug		Orfro
movie		Clothesline Patch
company		Agnico-Eagle Mines Limited
movie		Savage Garden: Superstars and Cannonballs: Live and on Tour in Australia
drug		Prodrox
movie		Resyl
movie		Goffs Oak
movie		Cabin Fever
person		Alessandro Volta
place		Rochdale
movie		Only Living Boy in NY
drug		Rulox Plus
drug		Enduronyl Forte
company		Global Power Equipment Group Inc.
person		Mary Somerville
movie		Behind the Scenes: Road to El Dorado
company		Energen Corporation
movie		Home VDO
company		Newfield Exploration Co.
drug		Val-Thorens
company		May Department Stores Co.
person		Pierre Hérigone
movie		Les Yeux fermés
person		Robert Coffin
person		Bonnie J. Dunbar
person		Frederick Soddy
drug		Albert Docusate 44
person		Martin Lawrence
drug		Dexafed Cough 126
drug		Sopamycetin Ophthalmic Ointment
movie		D'alembert
person		Kristie Hendrickson
drug		Norphadrine
movie		Enfoirés en 2000
person		Athene
place		Newbridge on Wye
company		Scotts Co
company		Battle Mountain Gold Co.
movie		'N Sync: Live From Madison Square Garden
movie		Samuil Shatunovsky
place		Butzbach
movie		Eddie Arcaro
drug		Ceftin 18
drug		Chloromag
movie		Fifteen Minutes
movie		Asociación Argentina de actores
person		Blue Square-Israel Ltd
movie		Autsch, du Fröhliche
drug		Beta-HC
movie		Os Três Zuretas
drug		Effer-K
movie		Anak
drug		Groupe Danone
person		Dragonriders of Pern
person		Thomson of Arnhem Land
movie		Sebucare
company		United Park City Mines Co..
place		Redfern
company		Coastalcast Corporation
movie		Port Kembla
movie		Open Return
drug		Dioeze 44
movie		La Laïque
person		Millard Fillmore
person		Marl
movie		Dirk Bouts
movie		Rogers Hornsby
place		Lahr
movie		Aisha
movie		The Strange Case of Señor Computer
place		Mortdale
place		Hof
drug		Sudafed Cold & Flu Gelcaps 136
person		Johann Deisenhofer
movie		Lights, Camera, War!
place		Banjo-Tooie
drug		Glycon
movie		Deal
movie		Orientations: Chris Doyle - Stirred But Not Shaken
person		Jean-Loup Chrétien
place		Burgundy
company		Equitable Res Cap Tr I
person		Jim Bottomley
person		Krajinka
person		Campanus of Novara
movie		Wittstock
person		Yaroslav Lopatynsky
drug		Rescon-ED 15
movie		Time of our Lives
company		Nippon Telegraph and Telephone Corp.
person		Gustav Stresemann
company		Tefron Ltd.
drug		Flonase
person		Tinactin Jock Itch Cream
drug		Hexadrol
drug		Genpril Caplets
person		Archer John Porter Martin
drug		DDAVP Nasal Spray
drug		Eflone
movie		Aviature
person		Georgii Pfeiffer
person		Konrad Knopp
movie		The Substitute: Failure Is Not an Option
person		Clement III
movie		True Hollywood Stories: Billionaire Boys Club
movie		Survival of the Fattest
person		Arthrisin
movie		Dalziel and Pascoe: Cunning Old Fox
drug		Propa pH Medicated Cleansing Pads Maximum Strength
movie		Thabit ibn Qays
person		Sézanne
place		Turrella
movie		Hånden på hjertet
movie		Intimate Portrait: Madeline Kahn
movie		Les Saisies
movie		Claude Dechales
person		Joseph Joffre
place		Horncastle
movie		Strawberry Flavour
person		Ivanovo
movie		Jungle
drug		Ensure Plus HN
movie		Waking Mele
drug		Lioresal Intrathecal
drug		Hista-Vadrin 11
movie		Junk n da Trunk
company		Eugenie Sandler P.I.
drug		PRIMAQUINE
movie		El Astillero
person		Tennessee Valley Auth
movie		Enspijk
company		Espirito Santo Finl Grp S A
place		Whitchurch (Hamp.)
drug		Monopril
person		Thomas Ward Custer
drug		Tussafed 23
drug		Rituxan
movie		Perm
place		Inséparables
person		Johann Bernoulli
drug		Spectro-Caine
movie		King Kelly
place		Gateshead
movie		Last Ball
person		Marilyn Whittemore
drug		Forensic Files
movie		Mutual Risk Mangement Ltd.
company		Montana Pwr Cap I
drug		Clearasil Maximum Strength Medicated Anti-Acne 10 Vanishing Lotion
place		Hexham
person		Le Larbin
drug		Titralac
movie		My Only Saving Grace
drug		Pro-Med 50
movie		Proof of Life
movie		Nitwit Predelick
movie		Fermé pour rénovations
drug		Profasi
place		BattleBots
movie		The Secret
person		Pamela A. Melroy
drug		Tempting Fate
person		Better Than Sex
movie		Bette
drug		Aspirin Plus Stomach Guard Extra Strength
drug		Copene-Petroquímica do Nordeste
place		Larkhall
person		Benjamin Waterhouse Hawkins
drug		UAA
movie		Dolé
drug		Evac-U-Gen 33
movie		Ich kaufe mir einen Mann
movie		The Gods of Times Square
company		Bairnco Corporation
drug		Staticin
company		Weddell & Reed Financial Inc
movie		Predair A
movie		Galahad
movie		Milch und Honig aus Rotfront
movie		Leçons de ténèbres
person		William Tecumseh Sherman
drug		Dimitri Egorov
place		Giethoorn
movie		Tatort - Tod vor Scharhörn
person		Jean Argand
person		K C Sreedharan Pillai
movie		G de Roberval Personne
place		Tutankhamen
drug		Pilopine HS
place		Villeneuve
drug		Crediton
drug		Anbesol Regular Strength Liquid
movie		Blaise Pascal
drug		Spectro-Chlor Ophthalmic Ointment
person		Charlie Chaplin
movie		De Ware Lodewijk - de ontknoping
movie		Spec Ops: Stealth Patrol
place		Pattensen
movie		Drainiac!
drug		Mestinon
drug		Cogolin
drug		Coolongolook
place		Lacrisert
drug		Monistat 3
company		Asia Pacific Wire & Cable
person		Josef Goebbels
drug		Triamonide 40
person		Marie Guillaumat
company		Wellpoint Health Networks Inc.
drug		Apo-Thioridazine 11
movie		Surviving Abyssinia
movie		Rat uzivo
movie		Hannoversch Münden
movie		Spoof! An Insider's Guide to Short Film Success
drug		Vioform-Hydrocortisone Mild Cream
movie		San tau chi saidoi
person		Oleksandr Sharkovsky
person		Keith Stewartson
movie		The Tattoo
movie		The Mystery of the Romanovs
place		Lithotabs
movie		Bella Block - Schuld und Liebe
movie		Men of Honor
drug		Tristan & Isolde
drug		Gen-Clonazepam
movie		God's Army
movie		Wendy O.williams
place		Downpour
drug		Roadblocks
movie		The Last Musketeer
drug		Triposed 28
movie		The Passage
movie		Fritzlar
movie		Sweet
movie		Santana: Supernatural Live
movie		Dromore
movie		Live Free or Die
movie		Quotation Marks
drug		Dialose Plus 42
movie		Baby Blues
place		Miltown
drug		NPH Iletin II
drug		Urocit-K
place		Vallery
person		Colonel Mary A. Hallaren
drug		LAM
movie		Når mørket er forbi
company		Ssbh Cap I
person		Joseph Doob
drug		Nia-Bid
place		Upminster
drug		Carnoux-en-Provence
movie		Most Promising Young Actress
place		Limpsfield
movie		Twice the Fun
company		Pacific Gulf Properties Inc.
place		Vogelforscher
place		Eversley
place		Banqueroute
company		Pan Pacific Retail Properties
place		Porthcawl
movie		Le Chien vert
person		Jennifer Lopez
movie		My Generation
drug		Blistex Medicated Lip Conditioner with Sunscreen 24
place		Papendrecht
movie		Neujahrskonzert der Wiener Philharmoniker 2000
person		Orgelkonspiratörerna
person		Marlenheim
movie		The City of Strangers
person		Pierre Gassendi
movie		Old Warden
movie		The Old Spaghetti Factory
person		Adrian I
drug		Allerest Maximum Strength 15
company		Capital Trust Inc.
drug		Storz-Dexa
movie		Highway Melody
movie		Flovent
drug		Sintrom
drug		Marinol
movie		La Precisione del caso
drug		Uro-Ves
place		Rowasa
movie		Buñuel en Hollywood
drug		Naftin
person		Hard Boiled Egg
drug		Aspirin Regimen Bayer Regular Strength Caplets
drug		Uvadex
drug		Codimal DM 46
movie		Masked Rider Kuuga
movie		Margaret: The Last Real Princess
place		Challacombe
company		Nuveen California Select Quality Municipal Fund
drug		ERYC-250
person		Justice Rehnquist
company		Household Cap Tr I
movie		Washed Up
drug		Pseudo-Car DM 23
movie		Clouet
drug		Nu-Cimet
drug		Duoplant Topical Solution
movie		Dr Lucille - Un rêve pour la vie
movie		Minipress
drug		Bufferin Caplets
company		Indiana Energy Inc.
place		Millevaches
place		Saint-Denis
company		Vintage Petroleum Inc.
movie		Das Schlosshotel
company		Medical Assurance Inc.
place		Hechingen
movie		Ordeals of Love on the Great Lakes
person		Arthur Kornberg
drug		Theo-SR
drug		Inapsine
place		Bangor (Wales)
company		Federal Rlty Invt Tr
place		Buphenyl
drug		Ensure Plus
company		Urstadt Biddle Properties Inc.
drug		Lanoxin
drug		Calciday 667
person		Chester W. Nimitz
drug		Orange Flavor Metamucil Smooth Sugar-Free
movie		Epping
company		Brush Wellman Inc
drug		Cleocin T Topical Solution
place		Heathfield (Devon)
drug		Pepto-Bismol
person		Vampires of Sorority Row Part II
drug		Empirin with Codeine No.3
person		My African Diary
movie		The Great-wesr Life Assurance Company
company		South Jersey Industries Inc.
movie		Nasir Khwaja
movie		Grosse Freiheit - Kleine Freiheit
movie		Zwei vom Blitz getroffen
company		Dillards Cap Tr I
place		Beben
drug		Camptosar
movie		Take My Life... Please
person		Bob Gibson
company		Delaware Group Dividend & Income Fund, Inc.
place		Ashwell
company		Mdu Resources Group Inc.
place		Billericay
movie		Eva & Adam - fyra födelsedagar och ett fiasko
company		Mueller Inds Inc
person		Nikolay Nikolaevich Semenov
company		Internacional de Cerámica S.A.
person		Francis Galton
drug		Stri-Dex Regular Strength Pads
drug		Poly D 23
person		Richard Yates
drug		OFF! Skintastic For Kids
movie		Best
person		St. Zosimus
movie		Le Giraffe
company		Wmc Ltd
company		Trinity Industries Inc.
person		A Hora Marcada
place		Weiden
place		Cytovene
movie		Could Be Worse!
movie		Hotellet
person		Thomas Edward Lawrence
place		Lochem
movie		Ein Palast und seine Republik
drug		Kwelcof Liquid 112
movie		Diarrest
drug		Bontril Slow-Release
movie		The Optimists
place		Baden-Wuerttemberg
movie		Libya
person		Kahin Pyaar Na Ho Jaaye
movie		In the Wings
person		El Irrigador
movie		Stadskanaal
movie		Seule avec la guerre
drug		Myanmar
movie		Spotlight on George Takei
company		Raytech Corporation.
movie		Ein Apartment zum Verlieben
company		Whitehall Jewellers Inc
drug		Predate S
movie		Chillin' with Jake Steed's Freaks Whoes & Flows 21
drug		Robitussin-DM 109
company		Saks Inc.
person		Edward Ory
movie		Divertimento
movie		Mabrouk Again
movie		Blues mrtvého muze
person		David Bomberg
movie		Zacharie Astruc
movie		Der Millionär und die Stripperin
drug		Comtrex Allergy-Sinus Caplets 13
place		Lanophyllin
place		Barriere-HC
movie		Höllische Nachbarn - Chaos im Hotel
movie		Brokeback Mountain
company		Santander Overseas Bank, Inc.
person		Andrew Johnson
drug		Peptavlon
drug		Ipol
movie		Sting: The Brand New Day Tour - Live from the Universal Amphitheatre
drug		Andel Exit
drug		Next Friday
movie		Doak Oil Therapeutic Bath Treatment For All-Over Body Care
drug		Theo-24
person		Giuseppe Bruno
person		Albrecht Kossel
drug		Fire-Eater
drug		Nu-Diltiaz
movie		Just an Ordinary Day
person		John Wilson
drug		Faygate
drug		Touro LA Caplets 142
place		Believe
person		George Canning
movie		Det Nya landet
drug		Arthritis Pain Ascriptin
movie		Pokémon: The Movie 2000
movie		Last Wedding
movie		Forgive and Forget
person		Georgian Grapes
place		Bopfingen
place		Belfield
company		Scudder Multi-Market Income Trust
drug		Spasmophen
movie		Pettson och Findus - Kattonauten
movie		Peepers
movie		Beastie Boys: Video Anthology
drug		Paolo Ruffini
movie		Seven Little Monsters
person		St. Hyginus
drug		Calglycine 18
drug		Amilon
person		Thomas Carey
movie		Selvsvings Bånd på livet - livet på bånd
person		Alvin "Red" Tyler
movie		This Is How the World Ends
movie		Miller Huggins
drug		Thiopentone
place		Hawarden
movie		Djomeh
drug		Luminal
place		Wentworth
person		Sidney Bechet
person		Mygel II
movie		O Fato
movie		La bloc oamenii mor dupa muzica
drug		Hilcote
person		Jörn Donner
company		Columbus Southern Power Co.
person		Julio Rey Pastor
movie		Warners Bay
movie		Visken 11
drug		Hawaiian Tropic Sport Sunblock 28 29
person		Luis Aparicio
person		Georgii Polozii
company		Griffon Corporation
movie		Fort Boyard - Az Eröd
drug		Ventabren
movie		Ellas, inocentes o culpables
place		Penarth
movie		C de la Vallée Poussin
company		United Technologies Corporation.
movie		Viktor
drug		Cortastat
company		Postcards From Paradise Park
movie		Head N.V.
place		Arnhem
drug		Mavik 12
movie		Wollombi
place		Barmouth
drug		Apo-Dipyridamole SC
movie		Milton of Campsie
person		James M. Kelly
movie		Myciguent
drug		Comtrex Daytime Caplets 124
movie		Ningen no kuzu
movie		Don't Kill
person		Cherry Hills
movie		The Last Buckaroo
company		Cigna Investment Securities, Inc.
company		IBP Inc.
drug		Cabecita
movie		Kids Say the Funniest Things
drug		Bromadrine PD
drug		Dalacin C Phosphate
movie		The Making of Lef
person		Piers J. Sellers
person		William Rankine
person		Richard M. Linnehan
movie		The Comedian
drug		Aphrodyne
movie		The Dave Saint Show
person		Virazole
drug		Furamide
movie		Dancing at the Blue Iguana
company		Mascotech Inc.
movie		Sundown Sunblock 38
movie		The King's Guard
drug		Necon 1/35
movie		The Announcement
movie		Gajes del oficio
place		Auvillar
drug		Sulfair 15
drug		Robitussin with Codeine 15
movie		Dhai Akshar Prem Ke
place		Coverack
movie		A Festa de Margarette
movie		VH-1 to One: The Corrs
place		Aberdare
person		Baruj Benacerraf
drug		Pepcid I.V.
movie		Teletubbies: Nursery Rhymes
company		Telemig Celular Participações S.A.
drug		Antacid Liquid Double Strength
drug		Nord-Pas-de-Calais
movie		Doak Oil Forte Therapeutic Bath Treatment
company		Caterpillar Inc.
person		Kathryn Flanagan
company		Homestake Mining Co.
company		American Retirement Corp.
movie		Barking Dogs Never Bite
person		Michael J. McCulley
place		Schönaich
company		Great Northern Iron Ore Properties.
